Enemy_Num = 23
Position: -1982.609741, -210.317719, -1182.433594, 0.000000, -2.789998, 0.000000, 1, 1
Position: -2150.891357, -122.326172, -1155.420166, 0.000000, -2.789998, 0.000000, 1, 1
Position: -1867.449707, -101.477280, -1399.701782, 0.000000, -3.299997, 0.000000, 1, 1
Position: -1687.716919, -113.822304, -1167.454712, 0.000000, -4.169998, 0.000000, 1, 1
Position: -2282.223389, -75.764641, -1189.642090, 0.000000, -9.570010, 0.000000, 1, 1
Position: -2523.988770, 38.602905, 493.017273, 0.000000, -12.179987, 0.000000, 1, 1
Position: -2260.979736, 47.678265, 854.329956, 0.000000, -15.539957, 0.000000, 1, 1
Position: -1809.116943, 117.723625, 621.456055, 0.000000, -17.879995, 0.000000, 1, 1
Position: -2584.409912, 21.344292, 2291.915039, 0.000000, -21.870087, 0.000000, 1, 1
Position: -2341.491211, 5.273125, 2482.682129, 0.000000, -17.969997, 0.000000, 1, 1
Position: -2669.211426, -28.727928, 2626.779785, 0.000000, -19.740038, 0.000000, 1, 1
Position: -2119.579834, 8.276504, 2705.754639, 0.000000, -19.230026, 0.000000, 1, 1
Position: -1820.185303, 96.339172, 2782.281982, 0.000000, -19.230026, 0.000000, 1, 1
Position: -796.627380, 13.222546, 2757.124512, 0.000000, -18.210003, 0.000000, 1, 1
Position: -572.325317, 13.066414, 2604.982422, 0.000000, -18.240004, 0.000000, 1, 1
Position: 2034.924683, -224.102295, 2473.694824, 0.000000, -13.439976, 0.000000, 1, 1
Position: 2946.103271, -96.920639, 2610.723877, 0.000000, -12.029988, 0.000000, 1, 1
Position: 2950.696777, -77.046906, 1930.527954, 0.000000, -11.549993, 0.000000, 1, 1
Position: 2778.867188, 5.589966, 1109.459717, 0.000000, -10.770000, 0.000000, 1, 1
Position: 2657.810303, -2.616641, -2548.756592, 0.000000, -8.460020, 0.000000, 1, 1
Position: 2621.614990, 0.267124, -2674.311768, 0.000000, -5.250005, 0.000000, 1, 1
Position: 2591.599365, -15.187783, -2586.681885, 0.000000, -4.319998, 0.000000, 1, 1
Position: 1542.112427, 4.241633, -2640.015381, 0.000000, -3.719996, 0.000000, 1, 1
